Title,Date
"Friends: Temporada 6: Aquele que poderia ter sido: Parte 1","29/07/2018"
"Friends: Temporada 6: Aquele em que Chandler não consegue chorar","29/07/2018"
"Friends: Temporada 6: Aquele com a irmã da Rachel","28/07/2018"
"Friends: Temporada 6: Aquele da piada","28/07/2018"
"Friends: Temporada 6: Aquele com a mesa do boticário","28/07/2018"
"Friends: Temporada 6: Aquele da rotina","28/07/2018"
"Friends: Temporada 6: Aquele em que Ross fica doidão","28/07/2018"
"Friends: Temporada 6: Aquele com os dentes do Ross","28/07/2018"
"Friends: Temporada 6: Aquele em que Phoebe corre","27/07/2018"
"Friends: Temporada 6: Aquele da última noite","27/07/2018"
"Friends: Temporada 6: Aquele com o Porsche do Joey","26/07/2018"
"Friends: Temporada 6: Aquele em que Joey perde o seguro","25/07/2018"
"Friends: Temporada 6: Aquele com a negação do Ross","25/07/2018"
"Friends: Temporada 6: Aquele em que Ross abraça Rachel","25/07/2018"
"Friends: Temporada 6: Aquele depois de Vegas","25/07/2018"
"Friends: Temporada 5: Aquele em Vegas: Parte 2","25/07/2018"
"Friends: Temporada 5: Aquele em Vegas: Parte 1","25/07/2018"
"Friends: Temporada 5: Aquele centésimo","25/07/2018"
"Friends: Temporada 5: Aquele com todos os beijos","25/07/2018"
"Friends: Temporada 4: Aquele com todos os vestidos de noiva","25/07/2018"
"Friends: Temporada 4: Aquele da pressa","24/07/2018"
"Friends: Temporada 4: Aquele do vestido novo da Rachel","23/07/2018"
"Friends: Temporada 4: Aquele com a pornografia de graça","23/07/2018"
"Friends: Temporada 4: Aquele da festa de despedida","23/07/2018"
"Friends: Temporada 4: Aquele do rugby","22/07/2018"
"Friends: Temporada 4: Aquele sobre o dia sujo do Joey","22/07/2018"
"Friends: Temporada 4: Aquele com a paquera da Rachel","22/07/2018"
"Friends: Temporada 4: Aquele com os embriões","22/07/2018"
"Friends: Temporada 4: Aquele com o útero da Phoebe","22/07/2018"
"Friends: Temporada 4: Aquele com a garota de Poughkeepsie","22/07/2018"
"Friends: Temporada 4: Aquele em que eles vão se divertir","22/07/2018"
"Friends: Temporada 4: Aquele do Chandler na caixa","22/07/2018"
"Friends: Temporada 4: Aquele em que Chandler passa dos limites","22/07/2018"
"Friends: Temporada 4: Aquele com a garota suja","22/07/2018"
"Friends: Temporada 4: Aquele com a nova namorada do Joey","22/07/2018"
"Friends: Temporada 4: Aquele da dança de salão","22/07/2018"
"Friends: Temporada 3: Aquele com o campeão de Vale-Tudo","22/07/2018"
"Friends: Temporada 4: Aquele com as algemas","22/07/2018"
"Friends: Temporada 4: Aquele com o gato","22/07/2018"
"Friends: Temporada 4: Aquele com a água-viva","22/07/2018"
"Friends: Temporada 3: Aquele da praia","22/07/2018"
"Friends: Temporada 3: Aquele da coisa do Ross","22/07/2018"
"Friends: Temporada 3: Aquele com o gritador","22/07/2018"
"Friends: Temporada 3: Aquele com o pintinho e o pato","21/07/2018"
"Friends: Temporada 3: Aquele da casa de boneca","21/07/2018"
"Friends: Temporada 3: Aquele com a camiseta minúscula","21/07/2018"
"Friends: Temporada 3: Aquele com a fita de hipnose","21/07/2018"
"Friends: Temporada 3: Aquele sem a viagem de esqui","21/07/2018"
"Friends: Temporada 3: Aquele da manhã seguinte","21/07/2018"
"Friends: Temporada 3: Aquele em que Ross e Rachel dão um tempo","21/07/2018"
"Friends: Temporada 3: Aquele com o ex da Phoebe","21/07/2018"
"Friends: Temporada 3: Aquele em que Monica e Richard são só amigos","21/07/2018"
"Friends: Temporada 3: Aquele com todo o ciúme","21/07/2018"
"Friends: Temporada 3: Aquele em que Chandler não lembra qual irmã","19/07/2018"
"Friends: Temporada 3: Aquele em que Rachel pede as contas","19/07/2018"
"Friends: Temporada 3: Aquele do futebol americano","19/07/2018"
"Friends: Temporada 3: Aquele com o instrumento para cutucar","18/07/2018"
"Friends: Temporada 3: Aquele com a cama de carro de corrida","18/07/2018"
"Friends: Temporada 3: Aquele do flashback","18/07/2018"
"Friends: Temporada 3: Aquele do Frank Jr.","18/07/2018"
"Friends: Temporada 3: Aquele do túnel metafórico","18/07/2018"
"Friends: Temporada 3: Aquele com a geleia","18/07/2018"
"Friends: Temporada 3: Aquele em que ninguém está pronto","18/07/2018"
"Friends: Temporada 3: Aquele com a fantasia da Princesa Leia","18/07/2018"
"Friends: Temporada 2: Aquele com o casamento do Barry e da Mindy","17/07/2018"
"Friends: Temporada 2: Aquele da catapora","17/07/2018"
"Friends: Temporada 2: Aquele com as duas festas","16/07/2018"
"Friends: Temporada 2: Aquele com os encrenqueiros","16/07/2018"
"Friends: Temporada 2: Aquele em que o velho Yeller morre","16/07/2018"
"Sherlock: Temporada 1: O grande jogo","16/07/2018"
"Friends: Temporada 2: Aquele em que Eddie não sai","16/07/2018"
"Friends: Temporada 2: Aquele quando Dr. Ramoray morre","16/07/2018"
"Friends: Temporada 2: Aquele em que Eddie se muda para o apartamento","15/07/2018"
"Friends: Temporada 2: Aquele em que Joey sai do apartamento","15/07/2018"
"Friends: Temporada 2: Aquele quando o Ross e a Rachel... sabe como é","15/07/2018"
"Friends: Temporada 2: Aquele com o vídeo da formatura","15/07/2018"
"Friends: Temporada 2: Aquele depois do Super Bowl: Parte 2","15/07/2018"
"Friends: Temporada 2: Aquele depois do Super Bowl: Parte 1","14/07/2018"
"Friends: Temporada 2: Aquele com o casamento lésbico","14/07/2018"
"Friends: Temporada 2: Aquele com o Russ","14/07/2018"
"Friends: Temporada 2: Aquele com o pai da Phoebe","14/07/2018"
"Sherlock: Temporada 1: O banqueiro cego","14/07/2018"
"Friends: Temporada 2: Aquele da lista","13/07/2018"
"Friends: Temporada 2: Aquele em que Ross fica sabendo","13/07/2018"
"Friends: Temporada 2: Aquele com o bebê no ônibus","13/07/2018"
"Rick and Morty: Temporada 1: Piloto","13/07/2018"
"Friends: Temporada 2: Aquele dos cinco bifes e uma berinjela","12/07/2018"
"Friends: Temporada 2: Aquele com o marido da Phoebe","12/07/2018"
"Sherlock: Temporada 1: Um estudo em rosa","12/07/2018"
"Um maluco no pedaço: Temporada 1: A vida do maluco no pedaço","09/07/2018"
"Samantha!: Temporada 1: Episódio 1","06/07/2018"
"Friends: Temporada 2: Aquele em que Heckles morre","05/07/2018"
"Friends: Temporada 2: Aquele do leite materno","04/07/2018"
"Friends: Temporada 2: Aquele com a nova namorada do Ross","04/07/2018"
"Friends: Temporada 1: Aquele em que Rachel fica sabendo","04/07/2018"
"Friends: Temporada 1: Aquele com o nascimento","04/07/2018"
"Friends: Temporada 1: Aquele do nojinho","04/07/2018"
"Friends: Temporada 1: Aquele com a Monica falsa","03/07/2018"
"Friends: Temporada 1: Aquele com o ortodontista maligno","03/07/2018"
"Friends: Temporada 1: Aquele em que o macaco foge","03/07/2018"
"Friends: Temporada 1: Aquele onde tudo começou","03/07/2018"
